book	chapter	verse_order	sentence_order	word_order	word=1	word_or_punct	word_class
Jer 	1 	8 	1 	6 	1 	faces 	VBZ
Jer 	1 	8 	1 	7 	0 	:
Jer 	1 	8 	1 	8 	1 	for 	IN
Jer 	1 	8 	1 	9 	1 	I 	PRP
Jer 	1 	8 	1 	10 	1 	am 	VBP
Jer 	1 	8 	1 	11 	1 	with 	IN
Jer 	1 	8 	1 	12 	1 	thee 	NN
Jer 	1 	8 	1 	13 	1 	to 	TO
Jer 	1 	8 	1 	14 	1 	deliver 	NN
Jer 	1 	8 	1 	15 	1 	thee 	NN
Jer 	1 	8 	1 	16 	0 	,
Jer 	1 	8 	1 	17 	1 	saith 	NN
Jer 	1 	8 	1 	18 	1 	the 	DT
Jer 	1 	8 	1 	19 	1 	LORD 	NN
Jer 	1 	8 	1 	20 	0 	.
Jer 	1 	9 	1 	1 	1 	Then 	RB
Jer 	1 	9 	1 	2 	1 	the 	DT
Jer 	1 	9 	1 	3 	1 	LORD 	NN
Jer 	1 	9 	1 	4 	1 	put 	NN
Jer 	1 	9 	1 	5 	1 	forth 	NN
Jer 	1 	9 	1 	6 	1 	his 	PRP$
Jer 	1 	9 	1 	7 	1 	hand 	NN
Jer 	1 	9 	1 	8 	0 	,
Jer 	1 	9 	1 	9 	1 	and 	CC
Jer 	1 	9 	1 	10 	1 	touched 	VBN
Jer 	1 	9 	1 	11 	1 	my 	PRP$
Jer 	1 	9 	1 	12 	1 	mouth 	NN
Jer 	1 	9 	1 	13 	0 	.
Jer 	1 	9 	2 	1 	1 	And 	CC
Jer 	1 	9 	2 	2 	1 	the 	DT
Jer 	1 	9 	2 	3 	1 	LORD 	NN
Jer 	1 	9 	2 	4 	1 	said 	VBD
Jer 	1 	9 	2 	5 	1 	unto 	NN
Jer 	1 	9 	2 	6 	1 	me 	PRP
Jer 	1 	9 	2 	7 	0 	,
Jer 	1 	9 	2 	8 	1 	Behold 	NN
Jer 	1 	9 	2 	9 	0 	,
Jer 	1 	9 	2 	10 	1 	I 	PRP
Jer 	1 	9 	2 	11 	1 	have 	VB
Jer 	1 	9 	2 	12 	1 	put 	NN
Jer 	1 	9 	2 	13 	1 	my 	PRP$
Jer 	1 	9 	2 	14 	1 	words 	NNS
Jer 	1 	9 	2 	15 	1 	in 	IN
Jer 	1 	9 	2 	16 	1 	thy 	NN
Jer 	1 	9 	2 	17 	1 	mouth 	NN
Jer 	1 	9 	2 	18 	0 	.
Jer 	1 	10 	1 	1 	1 	See 	VB
Jer 	1 	10 	1 	2 	0 	,
Jer 	1 	10 	1 	3 	1 	I 	PRP
Jer 	1 	10 	1 	4 	1 	have 	VB
Jer 	1 	10 	1 	5 	1 	this 	DT
Jer 	1 	10 	1 	6 	1 	day 	NN
Jer 	1 	10 	1 	7 	1 	set 	NN
Jer 	1 	10 	1 	8 	1 	thee 	NN
Jer 	1 	10 	1 	9 	1 	over 	IN
Jer 	1 	10 	1 	10 	1 	the 	DT
Jer 	1 	10 	1 	11 	1 	nations 	NNS
Jer 	1 	10 	1 	12 	1 	and 	CC
Jer 	1 	10 	1 	13 	1 	over 	IN
Jer 	1 	10 	1 	14 	1 	the 	DT
Jer 	1 	10 	1 	15 	1 	kingdoms 	NNS
Jer 	1 	10 	1 	16 	0 	,
Jer 	1 	10 	1 	17 	1 	to 	TO
Jer 	1 	10 	1 	18 	1 	root 	NN
Jer 	1 	10 	1 	19 	1 	out 	IN
Jer 	1 	10 	1 	20 	0 	,
Jer 	1 	10 	1 	21 	1 	and 	CC
Jer 	1 	10 	1 	22 	1 	to 	TO
Jer 	1 	10 	1 	23 	1 	pull 	NN
Jer 	1 	10 	1 	24 	1 	down 	RB
Jer 	1 	10 	1 	25 	0 	,
Jer 	1 	10 	1 	26 	1 	and 	CC
Jer 	1 	10 	1 	27 	1 	to 	TO
Jer 	1 	10 	1 	28 	1 	destroy 	NN
Jer 	1 	10 	1 	29 	0 	,
Jer 	1 	10 	1 	30 	1 	and 	CC
Jer 	1 	10 	1 	31 	1 	to 	TO
Jer 	1 	10 	1 	32 	1 	throw 	NN
Jer 	1 	10 	1 	33 	1 	down 	RB
Jer 	1 	10 	1 	34 	0 	,
Jer 	1 	10 	1 	35 	1 	to 	TO
Jer 	1 	10 	1 	36 	1 	build 	NN
Jer 	1 	10 	1 	37 	0 	,
Jer 	1 	10 	1 	38 	1 	and 	CC
Jer 	1 	10 	1 	39 	1 	to 	TO
Jer 	1 	10 	1 	40 	1 	plant 	NN
Jer 	1 	10 	1 	41 	0 	.
Jer 	1 	11 	1 	1 	1 	Moreover 	RB
Jer 	1 	11 	1 	2 	1 	the 	DT
Jer 	1 	11 	1 	3 	1 	word 	NN
Jer 	1 	11 	1 	4 	1 	of 	IN
Jer 	1 	11 	1 	5 	1 	the 	DT
Jer 	1 	11 	1 	6 	1 	LORD 	NN
Jer 	1 	11 	1 	7 	1 	came 	VBD
Jer 	1 	11 	1 	8 	1 	unto 	NN
Jer 	1 	11 	1 	9 	1 	me 	PRP
Jer 	1 	11 	1 	10 	0 	,
Jer 	1 	11 	1 	11 	1 	saying 	VBG
Jer 	1 	11 	1 	12 	0 	,
Jer 	1 	11 	1 	13 	1 	Jeremiah 	NN
Jer 	1 	11 	1 	14 	0 	,
Jer 	1 	11 	1 	15 	1 	what 	WP
Jer 	1 	11 	1 	16 	1 	seest 	NN
Jer 	1 	11 	1 	17 	1 	thou 	NN
Jer 	1 	11 	1 	18 	0 	?
Jer 	1 	11 	2 	1 	1 	And 	CC
Jer 	1 	11 	2 	2 	1 	I 	PRP
Jer 	1 	11 	2 	3 	1 	said 	VBD
Jer 	1 	11 	2 	4 	0 	,
Jer 	1 	11 	2 	5 	1 	I 	PRP
Jer 	1 	11 	2 	6 	1 	see 	VB
Jer 	1 	11 	2 	7 	1 	a 	DT
Jer 	1 	11 	2 	8 	1 	rod 	NN
Jer 	1 	11 	2 	9 	1 	of 	IN
Jer 	1 	11 	2 	10 	1 	an 	DT
Jer 	1 	11 	2 	11 	1 	almond 	NN
Jer 	1 	11 	2 	12 	1 	tree 	NN
Jer 	1 	11 	2 	13 	0 	.
Jer 	1 	12 	1 	1 	1 	Then 	RB
Jer 	1 	12 	1 	2 	1 	said 	VBD
Jer 	1 	12 	1 	3 	1 	the 	DT
Jer 	1 	12 	1 	4 	1 	LORD 	NN
Jer 	1 	12 	1 	5 	1 	unto 	NN
Jer 	1 	12 	1 	6 	1 	me 	PRP
Jer 	1 	12 	1 	7 	0 	,
Jer 	1 	12 	1 	8 	1 	Thou 	NN
Jer 	1 	12 	1 	9 	1 	hast 	NN
Jer 	1 	12 	1 	10 	1 	well 	RB
Jer 	1 	12 	1 	11 	1 	seen 	VBN
Jer 	1 	12 	1 	12 	0 	:
Jer 	1 	12 	1 	13 	1 	for 	IN
Jer 	1 	12 	1 	14 	1 	I 	PRP
Jer 	1 	12 	1 	15 	1 	will 	MD
Jer 	1 	12 	1 	16 	1 	hasten 	NN
Jer 	1 	12 	1 	17 	1 	my 	PRP$
Jer 	1 	12 	1 	18 	1 	word 	NN
Jer 	1 	12 	1 	19 	1 	to 	TO
Jer 	1 	12 	1 	20 	1 	perform 	NN
Jer 	1 	12 	1 	21 	1 	it 	PRP
Jer 	1 	12 	1 	22 	0 	.
Jer 	1 	13 	1 	1 	1 	And 	CC
Jer 	1 	13 	1 	2 	1 	the 	DT
Jer 	1 	13 	1 	3 	1 	word 	NN
Jer 	1 	13 	1 	4 	1 	of 	IN
Jer 	1 	13 	1 	5 	1 	the 	DT
Jer 	1 	13 	1 	6 	1 	LORD 	NN
Jer 	1 	13 	1 	7 	1 	came 	VBD
Jer 	1 	13 	1 	8 	1 	unto 	NN
Jer 	1 	13 	1 	9 	1 	me 	PRP
Jer 	1 	13 	1 	10 	1 	the 	DT
Jer 	1 	13 	1 	11 	1 	second 	JJ
Jer 	1 	13 	1 	12 	1 	time 	NN
Jer 	1 	13 	1 	13 	0 	,
Jer 	1 	13 	1 	14 	1 	saying 	VBG
Jer 	1 	13 	1 	15 	0 	,
Jer 	1 	13 	1 	16 	1 	What 	WP
Jer 	1 	13 	1 	17 	1 	seest 	NN
Jer 	1 	13 	1 	18 	1 	thou 	NN
Jer 	1 	13 	1 	19 	0 	?
Jer 	1 	13 	2 	1 	1 	And 	CC
Jer 	1 	13 	2 	2 	1 	I 	PRP
Jer 	1 	13 	2 	3 	1 	said 	VBD
Jer 	1 	13 	2 	4 	0 	,
Jer 	1 	13 	2 	5 	1 	I 	PRP
Jer 	1 	13 	2 	6 	1 	see 	VB
Jer 	1 	13 	2 	7 	1 	a 	DT
Jer 	1 	13 	2 	8 	1 	seething 	VBG
Jer 	1 	13 	2 	9 	1 	pot 	NN
Jer 	1 	13 	2 	10 	0 	;
Jer 	1 	13 	2 	11 	1 	and 	CC
Jer 	1 	13 	2 	12 	1 	the 	DT
Jer 	1 	13 	2 	13 	1 	face 	NN
Jer 	1 	13 	2 	14 	1 	thereof 	NN
Jer 	1 	13 	2 	15 	1 	is 	VBZ
Jer 	1 	13 	2 	16 	1 	toward 	IN
Jer 	1 	13 	2 	17 	1 	the 	DT
Jer 	1 	13 	2 	18 	1 	north 	NN
Jer 	1 	13 	2 	19 	0 	.
Jer 	1 	14 	1 	1 	1 	Then 	RB
Jer 	1 	14 	1 	2 	1 	the 	DT
Jer 	1 	14 	1 	3 	1 	LORD 	NN
Jer 	1 	14 	1 	4 	1 	said 	VBD
Jer 	1 	14 	1 	5 	1 	unto 	NN
Jer 	1 	14 	1 	6 	1 	me 	PRP
Jer 	1 	14 	1 	7 	0 	,
Jer 	1 	14 	1 	8 	1 	Out 	IN
Jer 	1 	14 	1 	9 	1 	of 	IN
Jer 	1 	14 	1 	10 	1 	the 	DT
Jer 	1 	14 	1 	11 	1 	north 	NN
Jer 	1 	14 	1 	12 	1 	an 	DT
Jer 	1 	14 	1 	13 	1 	evil 	NN
Jer 	1 	14 	1 	14 	1 	shall 	MD
Jer 	1 	14 	1 	15 	1 	break 	NN
Jer 	1 	14 	1 	16 	1 	forth 	NN
Jer 	1 	14 	1 	17 	1 	upon 	IN
Jer 	1 	14 	1 	18 	1 	all 	DT
Jer 	1 	14 	1 	19 	1 	the 	DT
Jer 	1 	14 	1 	20 	1 	inhabitants 	NNS
Jer 	1 	14 	1 	21 	1 	of 	IN
Jer 	1 	14 	1 	22 	1 	the 	DT
Jer 	1 	14 	1 	23 	1 	land 	NN
Jer 	1 	14 	1 	24 	0 	.
Jer 	1 	15 	1 	1 	1 	For 	IN
Jer 	1 	15 	1 	2 	0 	,
Jer 	1 	15 	1 	3 	1 	lo 	NN
Jer 	1 	15 	1 	4 	0 	,
Jer 	1 	15 	1 	5 	1 	I 	PRP
Jer 	1 	15 	1 	6 	1 	will 	MD
Jer 	1 	15 	1 	7 	1 	call 	NN
Jer 	1 	15 	1 	8 	1 	all 	DT
Jer 	1 	15 	1 	9 	1 	the 	DT
Jer 	1 	15 	1 	10 	1 	families 	NNS
Jer 	1 	15 	1 	11 	1 	of 	IN
Jer 	1 	15 	1 	12 	1 	the 	DT
Jer 	1 	15 	1 	13 	1 	kingdoms 	NNS
Jer 	1 	15 	1 	14 	1 	of 	IN
Jer 	1 	15 	1 	15 	1 	the 	DT
Jer 	1 	15 	1 	16 	1 	north 	NN
Jer 	1 	15 	1 	17 	0 	,
Jer 	1 	15 	1 	18 	1 	saith 	NN
Jer 	1 	15 	1 	19 	1 	the 	DT
Jer 	1 	15 	1 	20 	1 	LORD 	NN
Jer 	1 	15 	1 	21 	0 	;
Jer 	1 	15 	1 	22 	1 	and 	CC
Jer 	1 	15 	1 	23 	1 	they 	PRP
Jer 	1 	15 	1 	24 	1 	shall 	MD
Jer 	1 	15 	1 	25 	1 	come 	VB
Jer 	1 	15 	1 	26 	0 	,
Jer 	1 	15 	1 	27 	1 	and 	CC
Jer 	1 	15 	1 	28 	1 	they 	PRP
Jer 	1 	15 	1 	29 	1 	shall 	MD
Jer 	1 	15 	1 	30 	1 	set 	NN
Jer 	1 	15 	1 	31 	1 	every 	DT
Jer 	1 	15 	1 	32 	1 	one 	CD
Jer 	1 	15 	1 	33 	1 	his 	PRP$
Jer 	1 	15 	1 	34 	1 	throne 	NN
Jer 	1 	15 	1 	35 	1 	at 	IN
Jer 	1 	15 	1 	36 	1 	the 	DT
Jer 	1 	15 	1 	37 	1 	entering 	VBG
Jer 	1 	15 	1 	38 	1 	of 	IN
Jer 	1 	15 	1 	39 	1 	the 	DT
Jer 	1 	15 	1 	40 	1 	gates 	NNS
Jer 	1 	15 	1 	41 	1 	of 	IN
Jer 	1 	15 	1 	42 	1 	Jerusalem 	NN
Jer 	1 	15 	1 	43 	0 	,
Jer 	1 	15 	1 	44 	1 	and 	CC
Jer 	1 	15 	1 	45 	1 	against 	IN
Jer 	1 	15 	1 	46 	1 	all 	DT
Jer 	1 	15 	1 	47 	1 	the 	DT
Jer 	1 	15 	1 	48 	1 	walls 	NNS
Jer 	1 	15 	1 	49 	1 	thereof 	NN
Jer 	1 	15 	1 	50 	1 	round 	NN
Jer 	1 	15 	1 	51 	1 	about 	IN
Jer 	1 	15 	1 	52 	0 	,
Jer 	1 	15 	1 	53 	1 	and 	CC
Jer 	1 	15 	1 	54 	1 	against 	IN
Jer 	1 	15 	1 	55 	1 	all 	DT
Jer 	1 	15 	1 	56 	1 	the 	DT
Jer 	1 	15 	1 	57 	1 	cities 	NNS
Jer 	1 	15 	1 	58 	1 	of 	IN
Jer 	1 	15 	1 	59 	1 	Judah 	NN
Jer 	1 	15 	1 	60 	0 	.
Jer 	1 	16 	1 	1 	1 	And 	CC
Jer 	1 	16 	1 	2 	1 	I 	PRP
Jer 	1 	16 	1 	3 	1 	will 	MD
Jer 	1 	16 	1 	4 	1 	utter 	NN
Jer 	1 	16 	1 	5 	1 	my 	PRP$
Jer 	1 	16 	1 	6 	1 	judgments 	NNS
Jer 	1 	16 	1 	7 	1 	against 	IN
Jer 	1 	16 	1 	8 	1 	them 	PRP
Jer 	1 	16 	1 	9 	1 	touching 	VBG
Jer 	1 	16 	1 	10 	1 	all 	DT
Jer 	1 	16 	1 	11 	1 	their 	PRP$
Jer 	1 	16 	1 	12 	1 	wickedness 	NN
Jer 	1 	16 	1 	13 	0 	,
Jer 	1 	16 	1 	14 	1 	who 	WP
Jer 	1 	16 	1 	15 	1 	have 	VB
Jer 	1 	16 	1 	16 	1 	forsaken 	NN
Jer 	1 	16 	1 	17 	1 	me 	PRP
Jer 	1 	16 	1 	18 	0 	,
Jer 	1 	16 	1 	19 	1 	and 	CC
Jer 	1 	16 	1 	20 	1 	have 	VB
Jer 	1 	16 	1 	21 	1 	burned 	VBN
Jer 	1 	16 	1 	22 	1 	incense 	NN
Jer 	1 	16 	1 	23 	1 	unto 	NN
Jer 	1 	16 	1 	24 	1 	other 	JJ
Jer 	1 	16 	1 	25 	1 	gods 	NNS
Jer 	1 	16 	1 	26 	0 	,
Jer 	1 	16 	1 	27 	1 	and 	CC
Jer 	1 	16 	1 	28 	1 	worshipped 	VBD
Jer 	1 	16 	1 	29 	1 	the 	DT
Jer 	1 	16 	1 	30 	1 	works 	NNS
Jer 	1 	16 	1 	31 	1 	of 	IN
Jer 	1 	16 	1 	32 	1 	their 	PRP$
Jer 	1 	16 	1 	33 	1 	own 	JJ
Jer 	1 	16 	1 	34 	1 	hands 	NNS
Jer 	1 	16 	1 	35 	0 	.
Jer 	1 	17 	1 	1 	1 	Thou 	NN
Jer 	1 	17 	1 	2 	1 	therefore 	RB
Jer 	1 	17 	1 	3 	1 	gird 	NN
Jer 	1 	17 	1 	4 	1 	up 	RB
Jer 	1 	17 	1 	5 	1 	thy 	NN
Jer 	1 	17 	1 	6 	1 	loins 	NNS
Jer 	1 	17 	1 	7 	0 	,
Jer 	1 	17 	1 	8 	1 	and 	CC
Jer 	1 	17 	1 	9 	1 	arise 	NN
Jer 	1 	17 	1 	10 	0 	,
Jer 	1 	17 	1 	11 	1 	and 	CC
Jer 	1 	17 	1 	12 	1 	speak 	NN
Jer 	1 	17 	1 	13 	1 	unto 	NN
Jer 	1 	17 	1 	14 	1 	them 	PRP
Jer 	1 	17 	1 	15 	1 	all 	DT
Jer 	1 	17 	1 	16 	1 	that 	IN
Jer 	1 	17 	1 	17 	1 	I 	PRP
Jer 	1 	17 	1 	18 	1 	command 	NN
Jer 	1 	17 	1 	19 	1 	thee 	NN
Jer 	1 	17 	1 	20 	0 	:
Jer 	1 	17 	1 	21 	1 	be 	VB
Jer 	1 	17 	1 	22 	1 	not 	RB
Jer 	1 	17 	1 	23 	1 	dismayed 	NN
Jer 	1 	17 	1 	24 	1 	at 	IN
Jer 	1 	17 	1 	25 	1 	their 	PRP$
Jer 	1 	17 	1 	26 	1 	faces 	VBZ
Jer 	1 	17 	1 	27 	0 	,
Jer 	1 	17 	1 	28 	1 	lest 	JJS
Jer 	1 	17 	1 	29 	1 	I 	PRP
